,logFC,logCPM,F,PValue,FDR
chr16_31180581_31180836,1.01244468464588,0.170362652396252,45.098874680779,7.86298047939111e-11,3.35592006860413e-07
chr11_125111597_125112001,0.786306538090804,0.661523098192206,34.9995118306626,8.03235450318363e-09,1.71410445097939e-05
chr3_9396583_9397187,0.518645590042042,1.68876600558546,32.9668904785651,2.07646757215081e-08,2.95412119931322e-05
chr17_48048578_48048816,0.961233098540401,-0.152848015204898,30.6580206261759,6.15779235551143e-08,6.57036444333069e-05
chr19_4471583_4472258,0.508805580549262,1.67822028529203,29.4188132599141,1.10771374021126e-07,9.45544448644334e-05
chr7_107168489_107169029,0.490420712980608,1.46478626741406,24.7089343700689,1.05830734921893e-06,0.000752809294411067
chr19_4342717_4343142,0.567060460857511,0.998338987511294,23.3689027573507,2.02713146651676e-06,0.00123597101415622
chr11_64185717_64186250,0.492004474968779,1.27738155649461,22.2906046334444,3.42919725716358e-06,0.00173574761219851
chr11_83156529_83157132,0.460775649030788,1.45602957098895,22.1572412849206,3.66019880735394e-06,0.00173574761219851
chr19_18521959_18522678,0.393816071121506,2.09535173574618,21.0844451010291,6.19255032187911e-06,0.0025804350838329
chr11_65569964_65570464,0.520085786778522,0.934625417490356,20.7230081542983,7.39708332101895e-06,0.0025804350838329
chr14_20343090_20343627,0.506163323295008,0.987450762556689,20.6498604380558,7.66828477657744e-06,0.0025804350838329
chr12_50111730_50112237,0.437270743474322,1.52782953925818,20.5608110757996,8.01203211193658e-06,0.0025804350838329
chr12_56636795_56637191,0.495940938684626,1.02685314841175,20.4915406200198,8.4644074914856e-06,0.0025804350838329
chr1_207052963_207053348,0.473009269355457,1.09185344759689,19.8816839303811,1.12007669680641e-05,0.00318699156131316
chr1_26472907_26473252,0.55899485165925,0.558745757006856,19.0536663606779,1.68772060295821e-05,0.00450199470839102
chr1_37807653_37807796,0.867212686578143,-0.699685341043335,18.5492021652962,3.02048343152808e-05,0.00647532701876159
chr19_45692211_45692717,0.431193198882433,1.35752225918304,17.8428330335658,3.0832576191172e-05,0.00647532701876159
chr16_30370432_30371248,0.36767592436392,1.97142432950743,17.7254964247293,3.26932809908886e-05,0.00647532701876159
chr19_45717295_45717734,0.438737676848199,1.27965378246291,17.6887948347425,3.32982823500086e-05,0.00647532701876159
chr17_68035343_68035744,0.596597743901312,0.462731346333476,17.6757879410847,3.35153975038509e-05,0.00647532701876159
chr12_55817693_55818047,0.512429574963153,0.842338785791884,17.5823814900452,3.51171828851012e-05,0.00647532701876159
chr19_15418990_15419352,0.487383997203405,0.96364617055486,17.5489070089654,3.57098710563053e-05,0.00647532701876159
chr1_154974322_154974639,0.582227289186124,0.459223662601394,17.4989589842234,3.66130888468089e-05,0.00647532701876159
chr5_179732482_179732832,0.469207545616538,1.03672039396417,17.38953026501,3.86734679437205e-05,0.00647532701876159
chr1_25247438_25247877,0.436461514188593,1.19029719756768,17.349977432432,3.94466969277885e-05,0.00647532701876159
chr16_25111593_25111782,0.75723500155968,-0.2780464930431,17.0607340210316,4.55973105559747e-05,0.00720775264640371
chr7_120951041_120951303,0.512773460501379,0.736506418002645,16.9464259493336,4.82876355059094e-05,0.00734653760053126
chr19_42268683_42269281,0.393311115806241,1.60845545331686,16.8802509385177,4.99178984103576e-05,0.00734653760053126
chr19_35628689_35629024,0.508863252545712,0.728369171792376,16.8324292889635,5.38030893260901e-05,0.00765438617479176
chr8_134832253_134832727,0.462715598962649,0.885594272175044,16.4949853521754,6.05782070257073e-05,0.00811783716294515
chr19_44890439_44891275,0.346284024843148,2.35095511248796,16.4856025485208,6.0864758485062e-05,0.00811783716294515
chr12_53379451_53380203,0.377261311989098,1.62731201507411,16.283577722347,6.73784213921125e-05,0.00834042272802136
chr11_74170853_74171373,0.407898086485731,1.3647887756579,16.2259645551289,6.93621016521569e-05,0.00834042272802136
chr12_92145857_92146193,0.493862722527362,0.767533368160048,16.2017492737899,7.02133942023182e-05,0.00834042272802136
chr11_64269862_64270303,0.472272604506219,0.901297500410471,16.1871134783563,7.07330342960778e-05,0.00834042272802136
chr16_30922496_30922850,0.497208594684221,0.769602917455785,16.1063244775795,7.36722360426919e-05,0.00834042272802136
chr19_58387037_58387279,0.683369213133249,-0.0237990803534794,16.0897082933653,7.42919081987345e-05,0.00834042272802136
chr14_99480854_99481422,0.377053517968024,1.52878841429652,16.0390759377366,7.62128599795766e-05,0.00834042272802136
chr19_45178195_45178749,0.394030577589383,1.43748448498107,15.8504734574878,8.3821341379144e-05,0.00887067788728837
chr1_45500077_45500384,0.542147702391257,0.584291348966528,15.8178108342315,8.5215040622967e-05,0.00887067788728837
chr17_75393813_75394082,0.601825487134243,0.179149033347441,15.5451458263071,9.78037140040974e-05,0.00985950724580175
chr1_47314102_47314463,0.415253459553202,1.25280351962697,15.4589863172628,0.000102160787694649,0.00985950724580175
chr17_47895771_47896273,0.464246722741049,0.948601397525005,15.4418175077457,0.000103052213452978,0.00985950724580175
chr7_128739114_128739438,0.4188372745909,1.1399240779566,15.4005524600628,0.000105227078346275,0.00985950724580175
chr11_65615295_65615811,0.385351777532409,1.4244276639252,15.3811699534742,0.000106264604804799,0.00985950724580175
chr9_99819878_99820310,0.431719882746714,1.0353817202317,15.1791965676731,0.000117712108918736,0.0106892612950035
chr1_111140018_111140334,0.523376381326424,0.523831641168119,15.0275081359669,0.000127124025998376,0.0113011269184762
chr16_67806549_67806894,0.481478587471871,0.80197991603849,14.9580298899558,0.000131685937095668,0.0113011269184762
chr19_58572756_58573269,0.408139096728066,1.14509531334905,14.9474692908151,0.00013239370804213,0.0113011269184762
chr7_149714581_149714931,-0.407879905659844,1.08118414331497,14.9016016556504,0.00013551271776783,0.0113405544986882
chr12_113221026_113221499,0.40023907740549,1.30956049903494,14.8327065429142,0.000140337983960961,0.0115185099143342
chr11_67428316_67428468,0.775952207786546,-0.552262609023946,15.189427231351,0.000144545495433158,0.0115318187569181
chr7_7640449_7640802,0.464692579676439,0.754232040556538,14.9068704642262,0.000145903986146574,0.0115318187569181
chr19_47515009_47515574,0.332910726626458,1.86505504067291,14.6212909901499,0.000156259103517667,0.0116817974812859
chr10_12043148_12043414,0.561284729589144,0.321787213779298,14.6048502055254,0.000157571354979368,0.0116817974812859
chr9_131125829_131125991,0.501498455502041,0.657850496696103,14.5828765823542,0.000159342662230828,0.0116817974812859
chr6_69796832_69797173,0.550335227137867,0.396617778657754,14.5810661904961,0.000159489495013867,0.0116817974812859
chr19_40443039_40443464,0.396788084998897,1.22758019627287,14.5566053250421,0.000161486891142424,0.0116817974812859
